rou,fir,sec,thi,for,fif,six,bon
377,10,14,19,39,40,43,23
378,3,7,14,16,31,40,39
379,7,37,38,39,40,44,18
380,16,21,26,31,36,43,6
381,5,6,26,27,38,39,1
382,3,13,15,40,41,44,20
383,11,12,16,26,29,44,18
384,3,4,7,11,31,41,35
385,3,21,22,33,41,42,20
386,13,19,28,37,38,43,4
387,5,16,21,23,24,30,29
388,2,9,24,41,43,45,30
389,1,4,16,26,40,41,31
390,5,13,17,23,28,36,8
391,15,24,31,32,33,40,13
392,8,17,18,24,39,45,32
393,11,18,21,36,37,43,12
394,14,15,18,21,26,35,23
395,6,15,22,23,25,32,40
396,7,18,22,24,31,34,6
397,3,16,22,37,38,44,23
398,6,7,15,16,20,31,26
399,11,13,25,26,29,33,32
400,4,10,11,12,20,27,38
401,9,12,19,20,39,41,13
402,15,18,21,32,35,44,6
403,1,2,4,23,31,34,8
404,8,17,21,24,27,31,15
405,19,28,31,38,43,44,1
406,1,7,12,15,23,42,11
407,2,9,22,25,31,45,12
408,13,14,26,33,40,43,15
409,3,6,7,20,21,39,13
410,1,7,19,26,27,35,16
411,7,13,30,39,41,45,25
412,9,15,16,21,28,34,24
413,1,2,6,16,19,42,9
414,2,16,17,32,39,45,40
415,6,8,13,30,35,40,21
416,8,16,25,30,42,43,15
417,4,5,11,12,24,27,28
418,5,13,18,23,40,45,3
419,10,17,18,19,23,27,35
420,8,21,25,39,40,44,18
421,7,8,11,16,41,44,35
422,6,9,18,19,25,33,40
423,2,22,27,33,36,37,14
424,14,18,20,23,28,36,33
425,4,8,27,34,39,40,13
426,4,8,18,19,39,44,41
427,8,14,23,36,38,39,13
428,1,5,6,14,20,39,22
429,1,2,7,9,10,38,42
430,2,6,18,21,33,34,30
431,2,19,25,26,27,43,28
432,13,14,22,27,30,38,2
433,2,16,19,31,34,35,37
434,5,11,14,27,29,36,44
435,5,12,17,29,34,35,27
436,4,12,24,33,38,45,22
437,8,10,23,24,35,43,37
438,3,4,12,14,25,43,17
439,8,24,28,35,38,40,5
440,2,8,13,25,28,37,3
441,9,10,13,24,33,38,28
442,2,5,6,13,28,44,43
443,8,13,14,30,38,39,5
444,20,30,36,38,41,45,23
445,6,8,28,33,38,39,22
446,2,8,15,22,25,41,30
447,14,21,29,31,32,37,17
448,2,7,12,15,21,34,5
449,6,7,10,16,38,41,4
450,7,18,30,39,40,41,36
451,8,17,27,33,40,44,24
452,2,12,14,33,40,41,25
453,3,5,14,20,42,44,33
454,5,7,9,11,32,35,33
455,5,7,20,22,37,42,39
456,5,12,14,32,34,42,16
457,16,17,22,31,34,37,33
