den,wt
176,24.15
630,22.1
4500,23.2
65,22.3
460,22.95
1125,22.55
440,23.9
155,23.9
650,23
960,23.05
2000,23.1
1900,23
1700,23.55
2500,25
550,23.85
530,22.45
12,24.8
45,24.9
4980,22.95
2810,23.95
1050,23
1350,24.4
2400,25.15
790,24.55
146.5,24.2
297,24.15
34.5,23.6
420,22.85
1410,23
4500,23
5500,24.2
640,24.95
200,24.55
619.5,24.25
550,24.3
1525,23.95
1975,23.95
850,24.25
240,24.8
360,24.5
285,25.1
1245,23.85
1210,26.1
275,25.1
1000,25
44,25
129,24.25
1275,24.3
360,25.6
280,24.25
30,25.4
1120,23.7
240,24.25
6045,24.6
425,24.3
85,25.15
3300,23.85
350,23.2
750,25.3
2,23.2
1760,23.3
1020,24.1
75,23.45
950,24.95
2,23.9
3080,24.25
1475,23.15
430,22.95
60,23.95
308,23.25
200,25.5
8,23.3
1400,22.5
280,25.25
2,21.85
210,24.75
230,22.55
35,23.8
75,22.7
75,23.95
300,24.75
230,22.25
170,23.95
92.5,21.95
970,22.3
150,23.95
325,24.4
310,22.8
1690,22.8
1600,25.25
670,23.6
660,24
5,22.2
9500,25.41
2000,25.635
22500,25.635
9500,25.27
180,26.05
356.5,24.4
170,23.85
550,24.35
500,27.6
1350,27.6
7000,27.6
9500,28.5
1500,25.5
175,26.65
50,26.9
150,23.2
70,24.9
50,24.1
230,24.45
490,23.2
270,24.9
490,26.425
110,26.09
425.01,27.35
0.405,22.5
8000,28.75
40,26.55
0.41,24.6
60,26.2
0.225,26.8
11300,25.5
120,24.75
430,26.9
110,27.5
0.17,23.35
155,23.6
0.125,25.3
60,26.56
0.42,25.2
190,23.1
7000,22.6
10500,21.2
1250,23.1
13100,22
21250,20.2
825,21.375
10000,21.7
12500,19
350,18.35
20000,19.155
1000,16.8
1500,16.135
